exposure,ctr,n_impressions,ci_lower,ci_upper
1,0.5284689695550351,13664,0.5200988429036264,0.5368390962064438
2,0.44745316159250587,13664,0.4391158605288253,0.45579046265618645
3,0.41576405152224827,13664,0.4075001572803912,0.42402794576410535
4,0.39183255269320844,13664,0.3836473585154996,0.4000177468709173
5,0.3850263466042155,13664,0.37686727726412994,0.393185415944301
6,0.39542915185373284,9845,0.38577073036724235,0.40508757334022333
7,0.4058207534339725,7353,0.39459670184534623,0.4170448050225988
8,0.42137484694769983,5717,0.4085749953784263,0.4341746985169734
9,0.4280044101433297,4535,0.41360356806659243,0.44240525222006694
10,0.43332409204324923,3607,0.41715235047033844,0.44949583361616
11,0.4603658536585366,2952,0.44238546157103364,0.47834624574603957
12,0.4664747017688194,2431,0.44664322075913093,0.48630618277850785
13,0.4760463943519919,1983,0.45406446686124635,0.4980283218427375
14,0.48835820895522386,1675,0.4644194893924288,0.512296928518019
15,0.5154343144292893,1393,0.489189500064479,0.5416791287940997
16,0.49322033898305084,1180,0.4646940587201481,0.5217466192459536
17,0.5105740181268882,993,0.4794816133519735,0.5416664229018029
18,0.5398633257403189,878,0.5068952081246761,0.5728314433559617
19,0.5604249667994687,753,0.5249735309655185,0.595876402633419
20,0.5467075038284839,653,0.5085248365544298,0.5848901711025379
