category,exposure,ctr,n
Medium CTR,1,0.5393537696768849,1207
Medium CTR,2,0.4987572493786247,1207
Medium CTR,3,0.44821872410936203,1207
Medium CTR,4,0.4515327257663629,1207
Medium CTR,5,0.47058823529411764,1207
Medium CTR,6,0.4614747307373654,1207
Medium CTR,7,0.4507042253521127,1207
Medium CTR,8,0.45567522783761394,1207
Medium CTR,9,0.4208782104391052,1207
Medium CTR,10,0.4217067108533554,1207
Low CTR,1,0.44612068965517243,928
Low CTR,2,0.3954741379310345,928
Low CTR,3,0.3480603448275862,928
Low CTR,4,0.35344827586206895,928
Low CTR,5,0.34698275862068967,928
Low CTR,6,0.3329741379310345,928
Low CTR,7,0.35021551724137934,928
Low CTR,8,0.33836206896551724,928
Low CTR,9,0.34913793103448276,928
Low CTR,10,0.31788793103448276,928
High CTR,1,0.6372282608695652,1472
High CTR,2,0.5842391304347826,1472
High CTR,3,0.5747282608695652,1472
High CTR,4,0.5604619565217391,1472
High CTR,5,0.548233695652174,1472
High CTR,6,0.5543478260869565,1472
High CTR,7,0.5421195652173914,1472
High CTR,8,0.5380434782608695,1472
High CTR,9,0.5190217391304348,1472
High CTR,10,0.515625,1472
